interaction_id,customer_id,campaign_id,interaction_date,clicked,converted,revenue_generated
INT_00087,CUST_0399,CAMP_002,2024-11-09,0,0,373.41
INT_00088,CUST_0382,CAMP_008,2025-03-17,0,0,418.93
INT_00089,CUST_0499,CAMP_002,2025-04-05,1,0,1.61
INT_00090,CUST_0026,CAMP_004,2025-08-28,1,1,136.88
INT_00091,CUST_0467,CAMP_004,2026-05-29,0,0,175.34
INT_00092,CUST_0311,CAMP_010,2025-07-02,1,0,170.73
INT_00093,CUST_0382,CAMP_006,2026-01-23,0,0,284.09
INT_00094,CUST_0255,CAMP_010,2024-07-07,1,0,348.15
INT_00095,CUST_0427,CAMP_007,2025-09-30,1,1,283.09
INT_00096,CUST_0463,CAMP_003,2025-08-03,0,0,231.5
INT_00097,CUST_0463,CAMP_010,2026-04-22,0,0,58.13
INT_00098,CUST_0147,CAMP_003,2025-04-23,1,1,45.28
INT_00099,CUST_0398,CAMP_004,2026-05-22,0,0,364.78
INT_00100,CUST_0410,CAMP_004,2024-07-11,0,0,92.83
INT_00101,CUST_0118,CAMP_001,2024-07-21,0,1,295.57
INT_00102,CUST_0311,CAMP_010,2025-07-09,0,1,482.88
INT_00103,CUST_0411,CAMP_006,2025-02-21,0,0,383.36
INT_00104,CUST_0181,CAMP_009,2025-11-24,1,1,394.37
INT_00105,CUST_0113,CAMP_005,2025-12-27,1,1,108.76
INT_00106,CUST_0326,CAMP_010,2025-10-12,1,1,187.26
INT_00107,CUST_0098,CAMP_009,2024-08-04,1,1,40.64
INT_00108,CUST_0318,CAMP_003,2024-10-12,1,0,362.14
INT_00109,CUST_0129,CAMP_006,2024-10-10,0,1,123.37
INT_00110,CUST_0348,CAMP_005,2025-12-27,0,0,418.65
INT_00111,CUST_0387,CAMP_005,2026-05-07,0,1,321.16
INT_00112,CUST_0370,CAMP_010,2024-08-14,0,1,450.74
INT_00113,CUST_0393,CAMP_005,2024-10-08,0,0,95.54
INT_00114,CUST_0338,CAMP_009,2026-01-13,1,0,377.92
INT_00115,CUST_0349,CAMP_002,2024-12-24,0,0,66.37
INT_00116,CUST_0430,CAMP_003,2026-01-15,1,0,26.67
INT_00117,CUST_0071,CAMP_007,2025-02-14,1,0,352.96
INT_00118,CUST_0322,CAMP_001,2024-07-01,1,1,89.0
INT_00119,CUST_0050,CAMP_005,2025-12-24,0,1,70.21
INT_00120,CUST_0463,CAMP_003,2025-01-27,1,0,157.77
INT_00121,CUST_0322,CAMP_003,2025-07-03,0,1,112.98
INT_00122,CUST_0331,CAMP_004,2024-07-24,0,0,94.12
INT_00123,CUST_0021,CAMP_003,2025-06-14,1,1,441.78
INT_00124,CUST_0159,CAMP_006,2025-12-20,1,1,88.56
INT_00125,CUST_0404,CAMP_004,2025-07-29,1,0,147.47
INT_00126,CUST_0226,CAMP_007,2024-10-10,1,0,348.78
INT_00127,CUST_0018,CAMP_008,2025-04-18,0,0,132.27
INT_00128,CUST_0297,CAMP_003,2026-05-13,0,1,244.94
INT_00129,CUST_0187,CAMP_010,2025-01-24,0,0,289.35
INT_00130,CUST_0375,CAMP_005,2024-09-23,1,0,174.43
INT_00131,CUST_0068,CAMP_007,2025-09-23,0,0,320.91
INT_00132,CUST_0047,CAMP_007,2025-05-30,0,0,224.84
INT_00133,CUST_0466,CAMP_008,2025-05-08,0,0,315.51
INT_00134,CUST_0152,CAMP_002,2026-01-07,0,0,415.87
INT_00135,CUST_0168,CAMP_002,2024-06-28,0,1,18.37
INT_00136,CUST_0383,CAMP_007,2025-11-01,1,1,417.36
INT_00137,CUST_0213,CAMP_009,2025-06-01,0,1,192.84
INT_00138,CUST_0090,CAMP_005,2026-05-19,0,1,268.97
INT_00139,CUST_0103,CAMP_006,2024-12-22,0,0,105.33
INT_00140,CUST_0068,CAMP_008,2025-06-05,1,1,351.09
INT_00141,CUST_0403,CAMP_008,2025-07-11,1,1,173.46
INT_00142,CUST_0277,CAMP_006,2024-06-06,0,0,405.45
INT_00143,CUST_0449,CAMP_010,2024-12-28,0,0,398.14
INT_00144,CUST_0498,CAMP_001,2026-05-02,0,1,103.72
INT_00145,CUST_0188,CAMP_002,2025-10-21,1,0,349.83
INT_00146,CUST_0272,CAMP_008,2024-10-05,0,0,251.88
INT_00147,CUST_0257,CAMP_006,2025-06-23,0,1,414.93
INT_00148,CUST_0468,CAMP_002,2025-09-24,1,0,397.15
INT_00149,CUST_0140,CAMP_009,2025-01-09,0,0,45.38
INT_00150,CUST_0426,CAMP_007,2026-04-16,1,1,386.7
INT_00151,CUST_0085,CAMP_004,2026-01-30,1,0,129.11
INT_00152,CUST_0132,CAMP_007,2024-10-12,0,0,233.84
INT_00153,CUST_0468,CAMP_004,2024-08-11,0,1,15.72
INT_00154,CUST_0423,CAMP_008,2025-12-29,1,0,57.65
INT_00155,CUST_0484,CAMP_005,2026-02-19,1,0,329.17
INT_00156,CUST_0247,CAMP_006,2025-01-28,1,1,93.21
INT_00157,CUST_0496,CAMP_005,2025-04-07,1,1,69.91
INT_00158,CUST_0413,CAMP_006,2024-07-21,0,0,293.41
INT_00159,CUST_0152,CAMP_009,2025-06-16,1,0,186.14
INT_00160,CUST_0383,CAMP_010,2026-04-27,0,1,188.96
INT_00161,CUST_0446,CAMP_003,2024-08-31,1,0,294.2
INT_00162,CUST_0174,CAMP_010,2025-10-10,1,0,16.92
INT_00163,CUST_0412,CAMP_008,2025-09-20,0,0,350.64
INT_00164,CUST_0059,CAMP_006,2025-09-04,0,0,314.74
INT_00165,CUST_0240,CAMP_001,2024-06-19,1,0,434.66
INT_00166,CUST_0494,CAMP_001,2025-03-04,1,1,3.95
INT_00167,CUST_0039,CAMP_002,2025-08-22,1,0,210.7
INT_00168,CUST_0073,CAMP_008,2025-05-21,0,0,167.36
INT_00169,CUST_0387,CAMP_001,2025-05-07,0,0,323.94
INT_00170,CUST_0495,CAMP_002,2025-05-05,0,0,50.1
INT_00171,CUST_0116,CAMP_003,2026-01-12,0,0,456.57
INT_00172,CUST_0441,CAMP_008,2025-09-05,0,0,153.14
INT_00173,CUST_0347,CAMP_008,2025-12-13,1,0,233.42
INT_00174,CUST_0371,CAMP_001,2024-10-11,1,1,93.08
INT_00175,CUST_0346,CAMP_007,2025-09-09,1,1,10.87
INT_00176,CUST_0204,CAMP_004,2025-02-27,1,0,404.61
INT_00177,CUST_0496,CAMP_003,2026-01-18,1,0,228.22
INT_00178,CUST_0434,CAMP_005,2024-06-17,1,1,287.98
INT_00179,CUST_0412,CAMP_003,2025-05-31,0,0,217.48
INT_00180,CUST_0286,CAMP_005,2024-07-09,1,1,199.67
INT_00181,CUST_0188,CAMP_002,2024-07-12,1,0,417.05
INT_00182,CUST_0047,CAMP_006,2025-08-24,1,0,126.29
INT_00183,CUST_0405,CAMP_005,2026-04-24,0,1,186.61
INT_00184,CUST_0203,CAMP_002,2025-02-14,0,0,168.94
INT_00185,CUST_0008,CAMP_006,2025-10-20,1,1,339.28
INT_00186,CUST_0136,CAMP_003,2024-09-04,0,0,150.09
INT_00187,CUST_0275,CAMP_001,2024-10-29,0,0,485.38
INT_00188,CUST_0064,CAMP_007,2026-04-28,0,0,438.72
INT_00189,CUST_0233,CAMP_005,2026-02-05,0,0,381.59
INT_00190,CUST_0189,CAMP_004,2025-07-30,1,0,450.43
INT_00191,CUST_0345,CAMP_007,2024-11-27,0,0,253.48
INT_00192,CUST_0384,CAMP_002,2025-02-18,0,1,210.49
INT_00193,CUST_0345,CAMP_002,2024-09-24,1,0,387.04
INT_00194,CUST_0135,CAMP_001,2026-05-28,1,0,476.99
INT_00195,CUST_0300,CAMP_004,2024-08-29,0,0,200.38
INT_00196,CUST_0196,CAMP_008,2024-08-17,1,1,14.28
INT_00197,CUST_0422,CAMP_002,2026-04-07,1,0,256.1
INT_00198,CUST_0327,CAMP_003,2025-02-06,0,0,461.18
INT_00199,CUST_0482,CAMP_010,2026-01-23,0,0,443.3
INT_00200,CUST_0191,CAMP_004,2025-08-09,0,1,482.62
INT_00201,CUST_0056,CAMP_009,2024-10-02,1,1,471.42
INT_00202,CUST_0346,CAMP_008,2026-05-02,1,0,99.23
INT_00203,CUST_0120,CAMP_001,2024-07-17,0,1,486.21
INT_00204,CUST_0242,CAMP_001,2025-11-06,1,0,375.93
INT_00205,CUST_0013,CAMP_006,2025-06-15,1,0,64.95
INT_00206,CUST_0318,CAMP_002,2025-02-21,1,0,166.57
INT_00207,CUST_0453,CAMP_007,2026-02-03,0,0,479.96
INT_00208,CUST_0483,CAMP_003,2026-01-16,0,0,485.16
INT_00209,CUST_0288,CAMP_008,2024-08-28,1,0,154.64
INT_00210,CUST_0168,CAMP_002,2025-12-06,1,1,382.91
INT_00211,CUST_0469,CAMP_004,2025-03-08,1,0,400.74
INT_00212,CUST_0313,CAMP_007,2025-01-01,0,0,229.36
INT_00213,CUST_0114,CAMP_002,2025-02-09,0,1,82.67
INT_00214,CUST_0332,CAMP_002,2025-09-16,0,0,0.42
INT_00215,CUST_0033,CAMP_002,2025-10-25,1,0,73.75
INT_00216,CUST_0326,CAMP_006,2026-05-09,1,0,441.48
INT_00217,CUST_0422,CAMP_006,2025-03-07,1,0,150.64
INT_00218,CUST_0238,CAMP_005,2024-08-20,1,0,40.19
INT_00219,CUST_0466,CAMP_003,2025-11-21,0,0,118.09
INT_00220,CUST_0359,CAMP_007,2026-02-28,0,0,101.66
INT_00221,CUST_0155,CAMP_003,2024-10-29,1,1,45.08
INT_00222,CUST_0333,CAMP_003,2025-02-28,0,1,122.37
INT_00223,CUST_0210,CAMP_002,2026-03-04,1,0,342.36
INT_00224,CUST_0060,CAMP_009,2025-07-30,1,0,422.83
INT_00225,CUST_0072,CAMP_010,2026-04-16,1,0,187.13
INT_00226,CUST_0024,CAMP_001,2026-03-27,1,0,238.67
INT_00227,CUST_0485,CAMP_010,2026-05-14,0,0,172.36
INT_00228,CUST_0020,CAMP_003,2024-10-30,1,1,235.4
INT_00229,CUST_0156,CAMP_008,2025-09-12,1,0,343.39
INT_00230,CUST_0253,CAMP_006,2025-03-11,0,0,349.39
INT_00231,CUST_0060,CAMP_004,2025-05-21,0,0,456.42
INT_00232,CUST_0050,CAMP_003,2025-06-24,1,0,334.22
INT_00233,CUST_0121,CAMP_007,2024-06-29,1,0,415.67
INT_00234,CUST_0455,CAMP_010,2025-10-13,0,0,353.11
INT_00235,CUST_0276,CAMP_008,2024-08-20,0,1,381.53
INT_00236,CUST_0070,CAMP_004,2026-01-28,1,1,47.91
INT_00237,CUST_0199,CAMP_002,2024-11-16,0,0,64.25
INT_00238,CUST_0233,CAMP_002,2025-04-30,1,0,381.52
INT_00239,CUST_0190,CAMP_003,2024-06-27,1,0,66.76
INT_00240,CUST_0344,CAMP_002,2025-11-28,0,0,386.63
INT_00241,CUST_0487,CAMP_010,2026-05-17,1,0,449.01
INT_00242,CUST_0381,CAMP_007,2024-09-09,0,0,409.9
INT_00243,CUST_0357,CAMP_006,2026-03-11,0,0,365.19
INT_00244,CUST_0485,CAMP_007,2025-09-12,1,0,212.3
INT_00245,CUST_0277,CAMP_006,2024-12-17,1,0,196.93
INT_00246,CUST_0215,CAMP_003,2024-07-30,0,1,35.83
INT_00247,CUST_0301,CAMP_004,2025-12-30,1,0,244.15
INT_00248,CUST_0381,CAMP_005,2025-03-24,1,1,370.21
INT_00249,CUST_0373,CAMP_002,2024-09-26,0,1,293.21
INT_00250,CUST_0080,CAMP_004,2024-11-01,1,0,110.85
INT_00251,CUST_0454,CAMP_009,2024-12-16,0,1,304.26
INT_00252,CUST_0213,CAMP_010,2025-05-16,1,0,383.92
INT_00253,CUST_0336,CAMP_010,2024-11-29,1,0,184.57
INT_00254,CUST_0051,CAMP_010,2025-09-07,1,0,169.93
INT_00255,CUST_0427,CAMP_005,2026-04-27,0,0,411.62
INT_00256,CUST_0251,CAMP_001,2026-01-07,1,0,305.28
INT_00257,CUST_0316,CAMP_005,2024-08-05,0,0,375.84
INT_00258,CUST_0209,CAMP_004,2025-12-04,0,1,457.29
INT_00259,CUST_0481,CAMP_009,2025-07-03,1,1,322.79
INT_00260,CUST_0488,CAMP_010,2024-09-12,0,0,69.04
INT_00261,CUST_0144,CAMP_009,2025-10-21,0,0,93.99
INT_00262,CUST_0017,CAMP_004,2025-11-27,0,0,105.62
INT_00263,CUST_0354,CAMP_007,2025-08-28,1,0,217.7
INT_00264,CUST_0190,CAMP_005,2025-12-07,0,0,169.79
INT_00265,CUST_0112,CAMP_001,2026-03-02,1,1,327.02
INT_00266,CUST_0228,CAMP_004,2026-03-03,0,1,212.86
INT_00267,CUST_0228,CAMP_008,2025-01-19,0,0,142.48
INT_00268,CUST_0487,CAMP_007,2025-02-24,1,0,193.41
INT_00269,CUST_0121,CAMP_002,2025-04-01,1,0,410.64
INT_00270,CUST_0438,CAMP_004,2026-02-14,1,0,17.41
INT_00271,CUST_0186,CAMP_008,2025-07-03,1,0,479.26
INT_00272,CUST_0051,CAMP_010,2024-09-10,0,0,210.87
INT_00273,CUST_0352,CAMP_002,2026-03-25,0,1,81.77
INT_00274,CUST_0189,CAMP_009,2024-09-12,0,1,341.17
INT_00275,CUST_0279,CAMP_001,2025-07-18,0,1,417.12
INT_00276,CUST_0462,CAMP_006,2025-07-14,0,0,232.46
INT_00277,CUST_0331,CAMP_006,2025-06-18,1,0,41.32
INT_00278,CUST_0184,CAMP_003,2025-04-19,1,0,343.03
INT_00279,CUST_0032,CAMP_007,2025-10-01,0,0,50.7
INT_00280,CUST_0204,CAMP_010,2024-07-05,0,0,431.23
INT_00281,CUST_0142,CAMP_007,2025-04-11,1,0,401.78
INT_00282,CUST_0098,CAMP_006,2025-09-23,0,0,6.11
INT_00283,CUST_0496,CAMP_009,2026-02-25,0,1,159.51
INT_00284,CUST_0063,CAMP_003,2025-04-30,1,0,287.34
INT_00285,CUST_0486,CAMP_008,2025-08-01,1,1,192.0
INT_00286,CUST_0435,CAMP_002,2026-05-29,0,1,227.35
INT_00287,CUST_0422,CAMP_001,2024-11-07,0,0,243.07
INT_00288,CUST_0233,CAMP_010,2024-06-08,1,0,479.96
INT_00289,CUST_0047,CAMP_002,2025-02-13,0,1,200.85
INT_00290,CUST_0340,CAMP_001,2025-06-14,1,1,385.68
INT_00291,CUST_0109,CAMP_005,2024-09-01,0,0,151.48
INT_00292,CUST_0329,CAMP_004,2024-10-09,1,1,129.32
INT_00293,CUST_0328,CAMP_001,2024-07-27,0,0,317.06
INT_00294,CUST_0306,CAMP_001,2025-09-23,0,0,301.82
INT_00295,CUST_0498,CAMP_007,2026-04-20,1,0,401.21
INT_00296,CUST_0011,CAMP_009,2024-08-13,1,0,225.13
INT_00297,CUST_0026,CAMP_005,2024-07-16,1,0,186.41
INT_00298,CUST_0403,CAMP_009,2025-05-13,1,1,236.77
INT_00299,CUST_0171,CAMP_007,2024-08-22,0,0,167.53
INT_00300,CUST_0125,CAMP_007,2026-01-29,1,0,267.51
INT_00301,CUST_0065,CAMP_007,2025-07-01,0,1,182.43
INT_00302,CUST_0403,CAMP_002,2025-06-28,0,0,392.75
INT_00303,CUST_0290,CAMP_009,2024-05-31,1,1,490.37
INT_00304,CUST_0106,CAMP_009,2025-10-15,0,0,265.86
INT_00305,CUST_0036,CAMP_010,2024-06-27,0,1,191.74
INT_00306,CUST_0425,CAMP_003,2024-12-11,0,0,337.36
INT_00307,CUST_0392,CAMP_005,2025-10-23,0,0,75.19
INT_00308,CUST_0284,CAMP_002,2024-08-30,1,0,168.56
INT_00309,CUST_0107,CAMP_005,2026-05-29,1,0,467.09
INT_00310,CUST_0301,CAMP_002,2026-01-04,1,0,295.08
INT_00311,CUST_0111,CAMP_009,2025-11-16,0,0,98.81
INT_00312,CUST_0417,CAMP_004,2025-02-18,1,1,406.42
INT_00313,CUST_0446,CAMP_003,2024-09-18,0,0,363.81
INT_00314,CUST_0120,CAMP_009,2026-03-22,0,0,227.49
INT_00315,CUST_0169,CAMP_006,2025-11-07,0,0,24.27
INT_00316,CUST_0397,CAMP_007,2025-01-28,1,1,140.86
INT_00317,CUST_0076,CAMP_010,2026-05-22,1,0,60.78
INT_00318,CUST_0404,CAMP_002,2025-11-12,1,0,244.81
INT_00319,CUST_0462,CAMP_005,2026-02-07,0,0,183.55
INT_00320,CUST_0306,CAMP_007,2024-07-08,0,1,444.58
INT_00321,CUST_0002,CAMP_004,2025-08-21,0,0,343.19
INT_00322,CUST_0142,CAMP_001,2024-12-24,1,0,126.16
INT_00323,CUST_0440,CAMP_004,2024-11-05,0,1,168.73
INT_00324,CUST_0075,CAMP_002,2025-09-14,0,0,148.07
INT_00325,CUST_0067,CAMP_007,2026-05-28,1,0,409.58
INT_00326,CUST_0277,CAMP_002,2025-04-27,0,0,271.37
INT_00327,CUST_0129,CAMP_008,2025-03-20,0,0,89.36
INT_00328,CUST_0409,CAMP_010,2024-09-11,1,0,178.44
INT_00329,CUST_0090,CAMP_010,2024-09-24,1,1,8.76
INT_00330,CUST_0057,CAMP_001,2025-06-24,0,1,162.32
INT_00331,CUST_0339,CAMP_005,2025-10-31,1,1,317.99
INT_00332,CUST_0444,CAMP_003,2025-11-24,1,0,297.89
INT_00333,CUST_0014,CAMP_002,2025-06-21,1,0,178.62
INT_00334,CUST_0068,CAMP_001,2024-07-24,1,0,18.31
INT_00335,CUST_0008,CAMP_003,2025-09-16,0,0,369.34
INT_00336,CUST_0184,CAMP_001,2026-05-21,0,0,124.31
INT_00337,CUST_0405,CAMP_003,2024-06-21,1,0,42.02
INT_00338,CUST_0404,CAMP_008,2026-04-30,0,0,47.29
INT_00339,CUST_0122,CAMP_006,2024-11-20,0,0,363.39
INT_00340,CUST_0302,CAMP_009,2025-07-10,1,0,316.46
INT_00341,CUST_0166,CAMP_009,2025-10-19,0,0,215.55
INT_00342,CUST_0009,CAMP_005,2024-06-17,1,0,137.35
INT_00343,CUST_0090,CAMP_003,2025-12-09,1,0,485.93
INT_00344,CUST_0136,CAMP_006,2025-12-26,1,0,344.5
INT_00345,CUST_0027,CAMP_003,2025-05-24,1,0,122.05
INT_00346,CUST_0065,CAMP_005,2025-04-02,0,1,412.79
INT_00347,CUST_0380,CAMP_002,2025-02-20,0,0,417.46
INT_00348,CUST_0216,CAMP_001,2024-11-29,0,0,366.34
INT_00349,CUST_0270,CAMP_006,2024-07-27,1,0,261.78
INT_00350,CUST_0059,CAMP_007,2025-01-30,1,0,229.21
INT_00351,CUST_0382,CAMP_005,2025-11-17,1,1,38.27
INT_00352,CUST_0033,CAMP_009,2025-09-22,0,1,186.4
INT_00353,CUST_0244,CAMP_002,2025-12-16,1,0,73.38
INT_00354,CUST_0230,CAMP_005,2025-12-11,1,0,488.42
INT_00355,CUST_0399,CAMP_010,2026-02-24,1,0,318.91
INT_00356,CUST_0186,CAMP_002,2025-12-20,1,0,441.02
INT_00357,CUST_0263,CAMP_008,2025-05-27,0,0,190.96
INT_00358,CUST_0304,CAMP_008,2026-02-25,0,1,490.13
INT_00359,CUST_0056,CAMP_009,2024-11-07,1,0,39.38
INT_00360,CUST_0232,CAMP_006,2024-06-15,0,1,463.72
INT_00361,CUST_0258,CAMP_001,2026-03-03,1,0,374.63
INT_00362,CUST_0114,CAMP_008,2025-02-01,1,0,211.26
INT_00363,CUST_0485,CAMP_010,2025-10-21,1,0,11.19
INT_00364,CUST_0315,CAMP_003,2025-05-03,0,0,475.18
INT_00365,CUST_0023,CAMP_006,2025-09-15,1,1,128.43
INT_00366,CUST_0373,CAMP_003,2026-02-02,1,1,326.45
INT_00367,CUST_0402,CAMP_005,2025-07-05,0,0,441.46
INT_00368,CUST_0466,CAMP_002,2025-11-28,0,0,418.43
INT_00369,CUST_0444,CAMP_010,2025-05-07,1,0,216.72
INT_00370,CUST_0338,CAMP_002,2025-07-19,0,0,58.21
INT_00371,CUST_0267,CAMP_004,2026-05-14,1,0,95.82
INT_00372,CUST_0155,CAMP_009,2024-08-27,0,0,130.49
INT_00373,CUST_0235,CAMP_001,2025-12-13,1,0,151.6
INT_00374,CUST_0330,CAMP_001,2025-05-27,1,0,257.02
INT_00375,CUST_0494,CAMP_001,2025-03-14,1,1,427.12
INT_00376,CUST_0016,CAMP_004,2025-02-27,1,0,121.88
INT_00377,CUST_0032,CAMP_001,2025-02-13,0,1,399.48
INT_00378,CUST_0246,CAMP_008,2025-11-28,0,0,187.12
INT_00379,CUST_0434,CAMP_006,2026-01-09,0,1,236.46
INT_00380,CUST_0206,CAMP_007,2025-02-22,1,0,380.36
INT_00381,CUST_0219,CAMP_003,2024-07-04,1,0,218.47
INT_00382,CUST_0352,CAMP_003,2026-02-14,0,0,373.43
INT_00383,CUST_0056,CAMP_001,2025-01-10,1,0,389.15
INT_00384,CUST_0252,CAMP_009,2024-10-13,0,0,138.43
INT_00385,CUST_0365,CAMP_007,2024-12-22,1,0,335.72
INT_00386,CUST_0466,CAMP_004,2024-09-25,1,0,302.31
INT_00387,CUST_0228,CAMP_006,2026-05-16,1,1,454.87
INT_00388,CUST_0038,CAMP_004,2024-09-09,0,1,339.1
INT_00389,CUST_0461,CAMP_007,2025-11-27,0,0,136.34
INT_00390,CUST_0042,CAMP_006,2026-02-28,0,0,203.59
INT_00391,CUST_0165,CAMP_005,2024-10-03,1,0,9.36
INT_00392,CUST_0312,CAMP_002,2024-06-20,0,1,207.16
INT_00393,CUST_0076,CAMP_010,2025-03-12,1,0,64.88
INT_00394,CUST_0034,CAMP_006,2025-04-11,1,1,133.53
INT_00395,CUST_0065,CAMP_002,2024-07-04,0,1,299.54
INT_00396,CUST_0141,CAMP_009,2024-07-29,1,0,487.95
INT_00397,CUST_0320,CAMP_001,2026-05-11,0,1,159.08
